"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R6";"R_0603_1608Metric";1;"52k";;;
2;"R10,R7,R1,R3";"R_0603_1608Metric";4;"5.1k";;;
3;"R2";"R_0603_1608Metric";1;"70k";;;
4;"J1";"POGO_ISP";1;"ISP";;;
5;"IC1";"LT8364IMSE-PBF";1;"LT8362EMSE#TRPBF";;;
6;"C7,C2,C9,C10,C17,C14";"C_0603_1608Metric";6;"2.2u";;;
7;"C4,C1";"C_0603_1608Metric";2;"22u";;;
8;"IC2";"ATSAMD21E18A-AF";1;"ATSAMD21E18A-AF";;;
9;"L1";"SRP05204R7K";1;"3.3uH";;;
10;"J4";"USB3131-30-0230-A";1;"USB3131-30-0230-A";;;
11;"J3";"PinHeader_2x03_P2.54mm_Vertical";1;"Conn_01x06";;;
12;"R13";"R_0603_1608Metric";1;"0.62";;;
13;"R11";"R_0603_1608Metric";1;"36.5k";;;
14;"D3";"D_SOD-128";1;"PMEG6030EP";;;
15;"C12";"C_0603_1608Metric";1;"25pF";;;
16;"R15,R16";"R_0603_1608Metric";2;"48k";;;
17;"C5,C11,C13,C6,C8";"C_1206_3216Metric";5;"2.2uF";;;
18;"D2";"D_SOD-323F";1;"1N4148WS";;;
19;"C15";"C_0603_1608Metric";1;"2.2n";;;
20;"C16";"C_0603_1608Metric";1;"10n";;;
21;"U1";"MIC5317-3.3YM5-TR";1;"MIC5317-3.3YM5-TR";;;
22;"U3";"SOT-23-6";1;"MCP6C02T-020E/CHY";;;
23;"C3";"C_0603_1608Metric";1;"1u";;;
24;"R4,R5";"R_0603_1608Metric";2;"1M";;;
25;"HV1";"TestPoint_Pad_D1.0mm";1;"TestPoint";;;
26;"U2";"SOT-23-5";1;"RT9072B";;;
27;"IC4";"SOP65P640X120-8N";1;"MCP47FEB22A2-E_ST";;;
28;"R12";"R_0603_1608Metric";1;"45.3k";;;
29;"J2";"PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Right";1;"Conn_01x04";;;
